Provinsi;Timbulan Sampah Tahunan (ton/tahun)(A);Pengurangan Sampah Tahunan (ton/tahun)(B);%Pengurangan Sampah(B/A);Penanganan Sampah Tahunan (ton/tahun)(C);%Penanganan Sampah(C/A);Sampah Terkelola Tahunan (ton/tahun)(B+C);%Sampah Terkelola(B+C)/A;Daur ulang Sampah Tahunan (ton/tahun)(D);Recycling Rate(D+E)/A;Jumlah Bank Sampah Unit;Sampahmasuk (kg/thn);Sampahterkelola (kg/thn);Bahan baku Daur Ulang;Bahan baku Up-cycle;Jumlah Bank Sampah Induk;Sampahmasuk (ton/thn);Sampahterkelola (ton/thn);Bahan baku Daur Ulang;Bahan baku Up-cycle
Aceh;598630;47308;108;284963;852;332271;959;30491;63;94;62424;60798;56821;2873;2;1757;1617;1525;84
Bali;1027434;150222;120;688017;483;838239;603;117968;94;815;18025235;16922850;16765146;138744;14;17816;17404;17360;10
Banten;2627866;166236;44;1472532;386;1638768;431;129540;37;887;6667410;6613590;6139879;16775;5;1299;1299;1117;0
Bengkulu;137035;21331;39;23765;49;45096;88;3334;6;66;221760;123168;97488;9360;3;6169;5953;4537;0
D.I. Yogyakarta;313245;59399;60;127743;120;187142;179;58810;60;734;14660159;2266381;2239893;13600;14;4141;3600;2071;12
DKI Jakarta;3112381;812269;157;2293066;442;3105335;598;566091;122;1827;11349397;9613826;8435763;1176702;3;55555;55555;55555;0
Gorontalo;149171;22347;71;54199;133;76546;204;17165;66;21;26779490;1574198;1568198;6000;7;16914;1686;1686;0
Jambi;352484;72480;93;209461;273;281941;366;30191;88;92;3966696;2734783;1177716;7327;9;8838;6702;6593;0
Jawa Barat;4894648;606490;229;2281731;771;2888221;1000;511336;228;1332;15607573;14536524;12805677;846713;22;1307612;29015;28574;19
Jawa Tengah;5657837;1031124;588;2319516;1311;3350640;1899;664492;513;3802;12068181531;50141741;34082626;6510459;35;33804;31131;26121;1795
Jawa Timur;4954299;678691;478;2123650;1343;2802341;1821;518760;413;3555;39552893;17243373;16197120;320394;46;159912;6017;5640;238
Kalimantan Barat;466146;42586;42;192083;236;234669;278;38747;39;39;388657;384496;327138;2470;2;348;348;348;0
Kalimantan Selatan;591502;84021;183;348680;634;432701;817;48361;134;368;6043147;1839461;1768126;37399;11;2871;2856;2790;66
Kalimantan Tengah;308869;20281;46;81717;221;101998;267;17075;44;34;712208;601712;447524;7188;9;2058;1839;1839;0
Kalimantan Timur;791829;152066;154;537560;581;689626;736;113965;116;455;30667228;25805824;24867891;529694;16;2011;1469;1455;9
Kalimantan Utara;20755;3836;25;11995;130;15831;155;2418;27;6;204144;180120;180120;0;2;2;2;0;2
Kepulauan Bangka Belitung;124325;15696;51;57361;189;73057;240;10545;37;38;167516;158473;151254;7219;5;1276;1265;1264;1
Kepulauan Riau;586455;84614;103;396741;341;481356;445;65414;88;293;9604978;2246769;2164913;10672;7;10463;10225;10111;1
Lampung;791680;51810;59;270714;224;322524;283;16615;39;75;1914454;1259103;755692;56736;8;10951212;1687156;512143;511365
Maluku;73366;840;7;12381;75;13221;82;36;0;2;48000;48000;48000;0;2;23;23;23;0
Maluku Utara;67401;2116;10;23299;90;25415;100;2116;11;3;3540;3540;3540;0;1;70;0;0;0
Nusa Tenggara Barat;814804;89028;68;291933;360;380961;428;74681;52;160;9957033;5920099;5727471;7274;9;9329;8455;4035;0
Nusa Tenggara Timur;114165;6083;9;64665;90;70748;100;5259;8;2;203880;201468;201468;0;;;;;
Papua;160498;10622;38;124600;399;135222;437;9952;37;15;94248;93048;88488;4080;6;12004;11994;11838;10
Papua Barat;75615;378;1;47589;150;47967;151;378;1;;;;;;2;730;730;730;0
Papua Barat Daya;18163;1343;7;5179;29;6523;36;886;5;5;31203;31199;31199;0;;;;;
Papua Selatan;60067;1114;4;18611;81;19725;85;785;3;2;74496;68126;67406;0;;;;;
Papua Tengah;57742;0;0;29902;52;29902;52;;0;;;;;;;;;;
Riau;951952;73047;60;450468;328;523515;388;47766;38;138;7358542;5897892;4655054;819468;19;6825;6461;4994;572
Sulawesi Barat;97395;233218;455;23875;82;257093;537;232768;454;8;7657;7147;7147;0;2;462370;461183;461183;0
Sulawesi Selatan;908859;140930;274;468339;929;609269;1203;99998;209;606;4809058;3586107;3386185;73256;29;6772;5935;5866;27
Sulawesi Tengah;383167;19119;33;141669;253;160788;286;4114;8;36;10871347;70778;65376;2418;7;1974;1618;1253;0
Sulawesi Tenggara;230245;31792;62;129145;266;160937;327;10417;26;18;131789;63177;63177;0;5;1277;1275;1248;28
Sulawesi Utara;485946;48740;121;271993;660;320732;782;25135;45;82;19570620;1375296;762288;268632;11;2665;2060;1622;10
Sumatera Barat;958235;150120;289;433806;853;583926;1141;102867;226;420;5132211;4842901;4577249;104298;22;635463;606759;560747;46012
Sumatera Selatan;1326448;214346;156;576793;349;791138;505;134578;101;215;16873515;6595914;6148138;78110;12;5351;5005;2441;667
Sumatera Utara;1927352;242968;141;902075;505;1145043;645;181173;94;155;2691034;554143;494986;8170;25;747203;11532;9762;504
Grand Total;36218012;5388610;4385;17791815;14269;23180426;18653;3894228;3528;16400;12332635072;183666027;156556158;11066031;372;14476113;2988170;1746470;561429
